Puzzle Number, Expanded Nodes, Elapsed Time
1,1,268
2,1,156
3,6,542
4,17,1755
5,2711,378778
6,2457,429100
7,53285,667970
8,1266221,62743
9,53355,468846
10,53345,130157
11,501868,784619
12,659877,863043
