Puzzle Number, Expanded Nodes, Elapsed Time
1,1,1040
2,1,717
3,6,562
4,17,4937
5,2711,551900
6,2457,762364
7,53285,614948
8,1266221,942509
9,53355,716752
10,53345,625142
11,501868,462598
12,659877,557656
