Puzzle Number, Expanded Nodes, Elapsed Time
1,1,93
2,1,93
3,6,346
4,17,2749
5,2711,279628
6,2457,382971
7,53285,250418
8,1266221,649137
9,53355,783207
10,53345,612128
11,501868,569871
12,659877,125878
