Puzzle Number, Expanded Nodes, Elapsed Time
1,1,125
2,1,93
3,2,240
4,2,376
5,311,23766
6,215,11369
7,24,4806
8,218516,609136
9,16046,617070
10,6558,298201
11,77566,511789
12,611984,571878
